<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.681880, y: 3.681880, vx: -0.106559, vy: -0.106559, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.671825, y: 3.671825, vx: -0.101653, vy: -0.101653, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.676818, y: 3.676818, vx: -0.101231, vy: -0.101231, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.666997, y: 3.666997, vx: -0.096570, vy: -0.096570, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.672010, y: 3.672010, vx: -0.096170, vy: -0.096170, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.662410, y: 3.662410, vx: -0.091742, vy: -0.091742, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.667442, y: 3.667442, vx: -0.091361, vy: -0.091361, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.658052, y: 3.658052, vx: -0.087155, vy: -0.087155, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.663102, y: 3.663102, vx: -0.086793, vy: -0.086793, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.653912, y: 3.653912, vx: -0.082797, vy: -0.082797, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.658979, y: 3.658979, vx: -0.082454, vy: -0.082454, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.649979, y: 3.649979, vx: -0.078657, vy: -0.078657, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.655063, y: 3.655063, vx: -0.078331, vy: -0.078331, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.646243, y: 3.646243, vx: -0.074724, vy: -0.074724, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.651342, y: 3.651342, vx: -0.074414, vy: -0.074414, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.642693, y: 3.642693, vx: -0.070988, vy: -0.070988, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.647807, y: 3.647807, vx: -0.070694, vy: -0.070694, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.639321, y: 3.639321, vx: -0.067439, vy: -0.067439, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.644449, y: 3.644449, vx: -0.067159, vy: -0.067159, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:02 2026><DYNAMIC><Updated DRONE STATE - x: 3.636118, y: 3.636118, vx: -0.064067, vy: -0.064067, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.641259, y: 3.641259, vx: -0.063801, vy: -0.063801, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><input><Sent command of type 3 with forces fx: 1.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.633075, y: 3.633075, vx: -0.060863, vy: -0.060863, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.640729, y: 3.638229, vx: -0.010611, vy: -0.060611, fx: 1.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><input><Sent command of type 3 with forces fx: 1.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.632684, y: 3.630184, vx: -0.007820, vy: -0.057820, fx: 1.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.645225, y: 3.635350, vx: 0.089920, vy: -0.057580, fx: 2.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.637312, y: 3.627437, vx: 0.092571, vy: -0.054929, fx: 2.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><input><Sent command of type 3 with forces fx: 1.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.654496, y: 3.632615, vx: 0.185424, vy: -0.054701, fx: 2.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.649209, y: 3.624828, vx: 0.237942, vy: -0.052183, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.670803, y: 3.630016, vx: 0.326152, vy: -0.051966, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.668012, y: 3.622350, vx: 0.376045, vy: -0.049574, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.693795, y: 3.627548, vx: 0.459845, vy: -0.049368, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.693374, y: 3.619995, vx: 0.507243, vy: -0.047095, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.723138, y: 3.625203, vx: 0.586853, vy: -0.046900, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.724968, y: 3.617758, vx: 0.631881, vy: -0.044740, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:03 2026><DYNAMIC><Updated DRONE STATE - x: 3.758514, y: 3.622975, vx: 0.707510, vy: -0.044555, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:04 2026><DYNAMIC><Updated DRONE STATE - x: 3.762482, y: 3.615632, vx: 0.750287, vy: -0.042503, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:04 2026><DYNAMIC><Updated DRONE STATE - x: 3.799620, y: 3.620859, vx: 0.822134, vy: -0.042327, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:04 2026><DYNAMIC><Updated DRONE STATE - x: 3.805621, y: 3.613613, vx: 0.862772, vy: -0.040378, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:04 2026><DYNAMIC><Updated DRONE STATE - x: 3.846172, y: 3.618848, vx: 0.931028, vy: -0.040211, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:04 2026><DYNAMIC><Updated DRONE STATE - x: 3.854103, y: 3.611696, vx: 0.969634, vy: -0.038359, fx: 3.000000, fy: 0.000000>
<Thu Jan 15 14:56:04 2026><DYNAMIC><Updated DRONE STATE - x: 3.897896, y: 3.616938, vx: 1.034476, vy: -0.038200, fx: 3.000000, fy: 0.000000>
